cz,City,State,Unique state,Employment_Rate,Rent,Annual Income
cz1701,Raleigh, NC, NC,0.78,970.00,43417.00
cz31004,Liberal, KS & OK, KS,0.77,714.80,43649.00
cz8202,Charleston, SC, SC,0.77,1062.00,37319.00
cz19902,Easton, MD, MD,0.77,1078.00,43419.00
cz36403,Soda Springs, ID, ID,0.77,559.40,53256.00
cz35701,Twin Falls, ID, ID,0.77,779.60,45002.00
cz35904,Richfield, UT, UT,0.77,706.50,51014.00
cz12901,Lexington-Fayette, KY, KY,0.77,808.90,40073.00
cz401,Winston-Salem, NC, NC,0.77,745.50,40535.00
cz32601,Wichita Falls, TX, TX,0.77,810.50,43424.00
cz39202,Enterprise, OR, OR,0.77,689.20,46713.00
cz8000,Sumter, SC, SC,0.77,736.80,34432.00
cz32403,Snyder, TX, TX,0.77,749.70,47558.00
cz12402,Grayling charter, MI, MI,0.77,698.00,41221.00
cz32401,Big Spring, TX, TX,0.77,744.30,44496.00
cz3500,Baton Rouge, LA, LA,0.77,847.40,41720.00
cz30502,Enid, OK, OK,0.77,717.40,46767.00
cz20403,Oak Bluffs, MA, MA,0.77,1396.00,48840.00
cz20001,Bangor, ME, ME,0.77,768.40,42458.00
cz12001,Big Rapids, MI, MI,0.77,676.50,42106.00
cz35903,Moab, UT, UT,0.77,700.90,46455.00
cz37601,Elko, NV, NV,0.77,904.80,49970.00
cz28502,Pueblo, CO, CO,0.77,845.70,38870.00
cz8800,Savannah, GA & SC, GA,0.77,1046.00,36389.00
cz28401,Colorado Springs, CO, CO,0.77,1134.00,44344.00
cz9702,Americus, GA, GA,0.77,596.00,31555.00
cz11600,Detroit, MI, MI,0.77,982.50,43874.00
cz30401,Stillwater, OK, OK,0.77,766.80,46633.00
cz31900,Pearland, TX, TX,0.77,940.20,48061.00
cz29602,Eldon, MO, MO,0.77,673.60,40680.00
cz31301,San Antonio, TX, TX,0.77,1004.00,39454.00
cz32501,Abilene, TX, TX,0.77,808.80,42680.00
cz37903,Mammoth Lakes, CA, CA,0.77,934.70,47717.00
cz32402,Sweetwater, TX, TX,0.77,605.40,40860.00
cz32302,Brady, TX, TX,0.77,614.60,41577.00
cz4001,Magnolia, AR, AR,0.77,577.70,38182.00
cz33601,Lawton, OK, OK,0.77,761.70,40751.00
cz28503,Trinidad, CO, CO,0.77,737.00,40112.00
cz31201,Austin, TX, TX,0.77,1179.00,44004.00
cz32305,Del Rio, TX, TX,0.77,698.10,40041.00
cz35201,Grand Junction, CO, CO,0.77,928.50,45643.00
cz32604,Vernon, TX, TX,0.77,592.30,39868.00
cz900,Charlotte, NC & SC, NC,0.77,993.20,39880.00
cz19400,New York, NY, NY,0.77,1470.00,46402.00
cz29902,Center, MO, MO,0.77,597.80,40843.00
cz3600,Alexandria, LA, LA,0.77,729.50,37646.00
cz5500,Columbia, TN, TN,0.77,704.50,39576.00
cz34805,Alamosa, CO, CO,0.77,599.00,40821.00
cz700,Spartanburg, NC & SC, NC,0.77,715.10,37292.00
cz39100,Kennewick, OR & WA, OR,0.77,849.30,45803.00
cz12600,Wayne, IN, IN,0.77,664.00,39119.00
cz39400,Seattle, WA, WA,0.77,1285.00,48313.00
cz4301,Stuttgart, AR, AR,0.77,558.20,34664.00
cz32900,Killeen, TX, TX,0.77,910.60,38912.00
cz9800,Auburn, AL, AL,0.77,779.30,36131.00
cz5201,New Albany, MS, MS,0.77,577.30,37132.00
cz32301,San Angelo, TX, TX,0.77,814.70,41297.00
cz39000,Yakima, WA, WA,0.77,822.60,42357.00
cz26804,Cooperstown, ND, ND,0.77,413.00,56960.00
cz37604,Reno, NV, NV,0.77,1072.00,42550.00
cz14600,Bloomington, IN, IN,0.77,736.10,42781.00
cz16901,Charleston, WV, WV,0.77,677.20,41865.00
cz30501,Woodward, OK, OK,0.77,670.50,48990.00
cz26303,Turtle Mountain UT, ND, ND,0.76,376.00,42336.00
cz4002,Shreveport, LA, LA,0.76,778.90,36349.00
cz1100,Hickory, NC, NC,0.76,723.70,38489.00
cz31502,Pearsall, TX, TX,0.76,593.80,35653.00
cz37500,San Jose, CA, CA,0.76,1801.00,48795.00
cz9900,Tallahassee, FL, FL,0.76,879.50,36521.00
cz30907,Matador, TX, TX,0.76,575.00,35597.00
cz39201,La Grande, OR, OR,0.76,687.40,44656.00
cz8402,Washington, GA, GA,0.76,672.90,33256.00
cz8401,Aiken, GA & SC, GA,0.76,831.70,36823.00
cz31005,Perryton, TX, TX,0.76,698.40,54054.00
cz25101,Mountain Home, AR & MO, AR,0.76,597.30,39049.00
cz36303,Jackson, ID & WY, ID,0.76,1063.00,54395.00
cz17600,Charlottesville, VA, VA,0.76,1046.00,43488.00
cz3203,Vicksburg, LA & MS, LA,0.76,593.00,32606.00
cz34502,Libby, MT, MT,0.76,635.70,44406.00
cz7400,Orlando, FL, FL,0.76,1144.00,38306.00
cz26406,Wolf Point, MT, MT,0.76,462.70,44927.00
cz30904,Pampa, TX, TX,0.76,705.00,50272.00
cz31600,Brownsville, TX, TX,0.76,663.00,36038.00
cz11102,Troy, AL, AL,0.76,573.50,37100.00
cz16703,Buckhannon, WV, WV,0.76,611.50,43173.00
cz500,Greensboro, NC & VA, NC,0.76,754.60,38433.00
cz30903,Amarillo, TX, TX,0.76,835.10,42813.00
cz4103,El Dorado, AR, AR,0.76,613.40,36501.00
cz38601,Spokane, ID & WA, ID,0.76,879.40,45134.00
cz5600,Nashville, TN, TN,0.76,1019.00,41726.00
cz25402,Murray, KY, KY,0.76,620.00,42564.00
cz2100,Washington, NC, NC,0.76,783.00,36528.00
cz27603,Southwest Jackson UT, SD, SD,0.76,499.70,53395.00
cz7200,Cape Coral, FL, FL,0.76,1118.00,39665.00
cz1800,Goldsboro, NC, NC,0.76,683.00,35948.00
cz8602,Brunswick, GA, GA,0.76,830.10,34428.00
cz23400,Bloomington, IL, IL,0.76,803.80,51426.00
cz35801,Boise City, ID, ID,0.76,911.70,44321.00
cz10101,Bainbridge, GA, GA,0.76,615.40,32421.00
cz35803,McCall, ID, ID,0.76,687.40,44415.00
cz32801,Waco, TX, TX,0.76,791.90,38368.00
cz30901,Clovis, NM & TX, NM,0.76,787.30,39649.00
cz3202,Natchez, LA & MS, LA,0.76,543.20,35721.00
cz26402,Baker, MT, MT,0.76,649.00,58739.00
cz8701,Hinesville, GA, GA,0.76,764.50,34090.00
cz8300,Greenville, SC, SC,0.76,765.00,38900.00
cz20402,Nantucket, MA, MA,0.76,1574.00,56032.00
cz4200,Little Rock, AR, AR,0.76,798.10,38521.00
cz3700,Lake Charles, LA, LA,0.76,761.30,42694.00
cz38802,The Dalles, OR & WA, OR,0.76,881.20,43256.00
cz38801,Portland, OR & WA, OR,0.76,1130.00,45536.00
cz29800,Aurora, MO, MO,0.76,660.90,39541.00
cz32701,Brownwood, TX, TX,0.76,653.50,41163.00
cz31304,Mason, TX, TX,0.76,703.40,47684.00
cz1900,Jacksonville, NC, NC,0.76,836.50,36956.00
cz4003,Ruston, LA, LA,0.76,615.40,40178.00
cz4102,Pine Bluff, AR, AR,0.76,645.70,33053.00
cz31401,Midland, TX, TX,0.76,1025.00,50470.00
cz11002,Atmore, AL, AL,0.76,558.20,36103.00
cz27704,Gordon, NE & SD, NE,0.76,499.30,40325.00
cz8501,Fitzgerald, GA, GA,0.76,549.00,33420.00
cz36100,Salt Lake City, UT, UT,0.76,1108.00,51026.00
cz29700,Springfield, MO, MO,0.76,711.90,40889.00
cz3300,New Orleans, LA, LA,0.76,964.40,38663.00
cz28702,Glenwood Springs, CO, CO,0.76,1264.00,48073.00
cz34503,Kalispell, MT, MT,0.76,780.60,44061.00
cz5700,Tullahoma, TN, TN,0.76,684.20,40595.00
cz39203,Bend, OR, OR,0.76,1014.00,42837.00
cz32201,Huntsville, TX, TX,0.76,758.90,39591.00
cz32100,Beaumont, TX, TX,0.76,759.60,42761.00
cz8601,Waycross, GA, GA,0.76,582.70,34557.00
cz31800,College Station, TX, TX,0.76,882.60,42635.00
cz35702,Burley, ID, ID,0.76,584.50,46968.00
cz7600,Jacksonville, FL & GA, FL,0.76,1083.00,37487.00
cz5202,Memphis, MS & TN, MS,0.76,977.50,34030.00
cz8900,Macon, GA, GA,0.76,784.40,35749.00
cz1702,Henderson, NC, NC,0.76,661.30,30458.00
cz5401,Bowling Green, KY, KY,0.76,702.80,40345.00
cz3902,Lake Providence, LA, LA,0.76,497.50,32997.00
cz16801,Beckley, WV, WV,0.76,622.40,40934.00
cz6000,Huntsville, AL & TN, AL,0.76,821.60,40805.00
cz33802,Chickasha, OK, OK,0.76,647.90,42724.00
cz7900,Gainesville, FL, FL,0.76,854.90,38213.00
cz25602,Harrisburg, IL, IL,0.76,538.20,44516.00
cz1302,Florence, SC, SC,0.76,758.40,33319.00
cz10400,Meridian, MS, MS,0.76,652.40,34668.00
cz9003,Dublin, GA, GA,0.76,597.40,33523.00
cz33000,Fort Worth, TX, TX,0.76,1077.00,43764.00
cz32802,Corsicana, TX, TX,0.76,691.50,40033.00
cz8503,Valdosta, GA, GA,0.76,685.90,33483.00
cz9500,Talladega, AL, AL,0.76,600.30,34974.00
cz12502,Washington Court House, OH, OH,0.76,709.10,38501.00
cz30602,Alamogordo, NM, NM,0.76,799.50,38265.00
cz33602,Altus, OK, OK,0.76,640.30,40581.00
cz30701,Roswell, NM, NM,0.76,767.40,42282.00
cz10502,Starkville, MS, MS,0.76,687.90,33799.00
cz10200,Albany, GA, GA,0.76,715.30,30809.00
cz35100,Tucson, AZ, AZ,0.76,929.90,38632.00
cz35802,Ontario, ID & OR, ID,0.76,649.20,41477.00
cz6900,Sarasota, FL, FL,0.76,1083.00,39611.00
cz6401,Chattanooga, GA & TN, GA,0.76,787.20,38289.00
cz35300,Farmington, CO & NM, CO,0.75,877.40,42747.00
cz30402,Tulsa, OK, OK,0.75,844.30,43183.00
cz4902,Dyersburg, TN, TN,0.75,620.10,33488.00
cz3800,Lafayette, LA, LA,0.75,705.60,43102.00
cz5900,Clarksville, KY & TN, KY,0.75,862.70,37787.00
cz7300,Palm Bay, FL, FL,0.75,1017.00,39299.00
cz34801,Las Vegas, NM, NM,0.75,682.00,34761.00
cz1301,Bennettsville, SC, SC,0.75,572.60,30338.00
cz3003,Jackson, MS, MS,0.75,848.20,35591.00
cz38901,Eugene, OR, OR,0.75,901.10,42950.00
cz8201,Barnwell, SC, SC,0.75,613.60,30028.00
cz5402,Glasgow, KY & TN, KY,0.75,558.80,39720.00
cz37603,Portola, CA, CA,0.75,860.70,44114.00
cz38501,Moses Lake, WA, WA,0.75,718.70,45676.00
cz7100,Port St. Lucie, FL, FL,0.75,1298.00,38791.00
cz4101,Crossett, AR, AR,0.75,606.00,38393.00
cz33500,Texarkana, AR & TX, AR,0.75,687.20,37887.00
cz3901,Monroe, LA, LA,0.75,639.30,35343.00
cz9701,Columbus, AL & GA, AL,0.75,873.70,32667.00
cz602,Galax, NC & VA, NC,0.75,562.10,38380.00
cz3001,Kosciusko, MS, MS,0.75,559.20,31842.00
cz38700,Longview, OR & WA, OR,0.75,807.00,43035.00
cz33100,Dallas, TX, TX,0.75,1155.00,42373.00
cz31402,Pecos, TX, TX,0.75,764.30,48622.00
cz5800,Dickson, TN, TN,0.75,657.40,39144.00
cz12702,Maysville, KY, KY,0.75,537.70,37996.00
